,SVM,ELM,MLP,ML-ELM,V-ELM,B-ELM,Ada-ELM,HE-ELM-1,HE-ELM
Iris ,95.08,95.92,95.5,87.67,93.33,89,89,96.92,96.75
SPECTF ,79.07,77.99,82.62,75.51,77.71,77.71,75.09,77.8,79.44
Wine,97.29,98.33,98.33,93.47,98.4,98.26,95.9,98.47,98.54
Car,79.9,93.67,85.82,85.23,89.25,89.34,96.13,89.86,97.34
Chart,91.71,90.85,99.12,91.62,95.4,94.98,95.19,94.73,96.62
Cotton,90.14,90.77,79.23,79.37,92.73,92.87,90,91.85,92.9
Dermatology,97.82,96.94,96.8,94.29,97.69,97.76,94.97,97.41,97.59
Diabetes,76.82,76.87,76.69,74.51,76.66,76.69,73.47,77.22,77.4
Ecoli,88.05,86.72,80.31,83.21,85.61,85.19,73.85,87.37,88.4
Glass,90.3,83.41,83.66,76.22,88.11,85.12,84.94,87.8,92.32
Letter,70.11,81.89,85.25,55.87,71.62,71.57,83.05,87.36,96.42
Libras,68.92,73.06,64.86,54.72,79.9,80,80.35,80.28,82.81
Optdigits,96.49,97.56,97.5,84.14,95.66,95.73,97.81,98.08,98.95
Pen,93.07,98.84,98.39,89.62,95.43,95.32,98.77,98.99,99.5
Satellite,82.65,87.2,87.26,83.69,84.86,84.76,84.36,86.81,89.96
Segment,91.81,95.22,94.76,86.68,92.19,92.4,94.35,94.4,97.08
shuttle,92.52,99.54,98.72,97.09,97.81,97.94,98.1,98.91,99.73
Soybean,94.17,92.48,90.44,84,93.89,93.91,90.59,94.59,94.22
Vowel,53.48,87.61,61.94,63.38,75.92,77.99,90.71,90.1,95.56
WDBC,96.93,96.07,97.5,94.82,96.84,96.73,94.58,96.25,97.83
Yeast,57.23,58.14,58.23,56.57,58.45,58.92,44.05,59.34,59.17
Zoo,98.97,99.12,99.71,95.88,100,100,99.71,99.85,100
